Ticker,EventDate,CAR_Window,CAR,Surprise,EPS_Estimate,Reported_EPS
AAPL,2023-05-04 16:30:00,5,-0.014330809931823828,0.0603,1.43,1.52
AAPL,2023-05-04 16:30:00,10,-0.031318297410969316,0.0603,1.43,1.52
AAPL,2023-05-04 16:30:00,30,-0.06265529083058713,0.0603,1.43,1.52
AAPL,2023-02-02 16:30:00,1,-0.007398197875102538,-0.0288,1.94,1.88
AAPL,2023-02-02 16:30:00,2,-0.005628006323096523,-0.0288,1.94,1.88
AAPL,2023-02-02 16:30:00,5,0.002815487414481585,-0.0288,1.94,1.88
AAPL,2023-02-02 16:30:00,10,0.02460602186157698,-0.0288,1.94,1.88
AAPL,2023-02-02 16:30:00,30,0.09083453612766651,-0.0288,1.94,1.88
AAPL,2022-10-27 16:30:00,1,-0.007671326250609323,0.0155,1.27,1.29
AAPL,2022-10-27 16:30:00,2,-0.021356274095322487,0.0155,1.27,1.29
AAPL,2022-10-27 16:30:00,5,-0.0802529056453734,0.0155,1.27,1.29
AAPL,2022-10-27 16:30:00,10,-0.06998560628317234,0.0155,1.27,1.29
AAPL,2022-10-27 16:30:00,30,-0.11331673576321401,0.0155,1.27,1.29
AAPL,2022-07-28 16:30:00,1,-0.0032163899931146314,0.0325,1.16,1.2
AAPL,2022-07-28 16:30:00,2,-0.004594952326340569,0.0325,1.16,1.2
AAPL,2022-07-28 16:30:00,5,0.011043774268768809,0.0325,1.16,1.2
AAPL,2022-07-28 16:30:00,10,0.006057925971458028,0.0325,1.16,1.2
AAPL,2022-07-28 16:30:00,30,0.00876785958168054,0.0325,1.16,1.2
AAPL,2022-04-28 16:30:00,1,-0.005495660416725475,0.0644,1.43,1.52
AAPL,2022-04-28 16:30:00,2,-0.0023015496379682164,0.0644,1.43,1.52
AAPL,2022-04-28 16:30:00,5,0.0004558387759990047,0.0644,1.43,1.52
AAPL,2022-04-28 16:30:00,10,-0.036827178452795754,0.0644,1.43,1.52
AAPL,2022-04-28 16:30:00,30,-0.05932512990985082,0.0644,1.43,1.52
AAPL,2022-01-27 16:30:00,1,0.0027689554654042638,0.1117,1.89,2.1
AAPL,2022-01-27 16:30:00,2,-0.0076302758508802904,0.1117,1.89,2.1
AAPL,2022-01-27 16:30:00,5,-0.012042243328508496,0.1117,1.89,2.1
