Window,Coefficient,P-Value,R-squared,N
1,0.014254325535166491,0.051963953954328124,0.06940781342418123,55
2,0.007042495371750288,0.560106757047921,0.006445845875479805,55
5,0.001594539855721635,0.9326690162771802,0.0001359483955405416,55
10,-0.07360164956509084,0.0831539948503878,0.05557467842933317,55
30,0.050582384270997954,0.23742482730062328,0.026234989050469615,55
